name,city,country,shipments (01/2015 - 08/2026)
Apolo Tubulars S/A,Novo Horizonte,Brazil,30
Arvedi Metalfer Do Brasil,Oliveira,Brazil,23
Damco Logistics Brasil,Gonzaga,Brazil,22
Stemcor Usa,,Brazil,14
Tuper,Sao Bento,Brazil,12
Apolo Tubulars International,Novo Horizonte,Brazil,11
Tuper Tog,Sao Bento,Brazil,8
Metalurgica Golin S A,Guarulhos,Brazil,6
Tuper S A,Sao Bento,Brazil,6
Apolo Tubulars Sn,Novo Horizonte,Brazil,6
Marcegaglia Do Brasil,,Brazil,6
Access Global Logistics,,Brazil,6
Tuper Avenida Prefeito Ornith,Sao Bento,Brazil,4
Schenker Do Brasil Transportes Inte,Sales,Brazil,4
Vallourec Solu Es Tubulares Do Bra,,Brazil,3
Metalurgica Golin,Guarulhos,Brazil,3
Robor,,Brazil,3
Apolo Tubulars Av Dr Leo,Novo Horizonte,Brazil,2
M&I Comercio E Servicos,Camargo,Brazil,2
Arcelormittal Prod Research,,Canada,14
Boart Longyear,Ward 7,Canada,6
Imperial Steel Products,Manitoba,Canada,6
Oil Lift Technology,Calgary,Canada,3
Arzon,Ontario,Canada,3
A Hartrodt Canada,,Canada,3
Tube Investments Of India,,Canada,2
Burford International,,Canada,2
Ti Automotive Canada,Ontario,Canada,2
Prestige Guitars,North Vancouver,Canada,2
Caledon Tubing,James,Canada,2
Dhl Global Forwarding China,Ontario,Canada,2
H E Industrial,Ontario,Canada,2
Renaissance International,Quebec,Canada,2
Thyssenkrupp Presta Danville,,Canada,2
Odyssey Shipping,Lachine,Canada,1
Gillespie Munro Abi,Cote-des-Neiges-Notre-Dame-de-Grace,Canada,1
Urecon,Coteau-du-Lac,Canada,1
Polylink Global,Vancouver,Canada,1
Tubos De Acero De Mexico,Veracruz,Mexico,146
Garay Componentes Tubulares De C,,Mexico,29
Metal Melting Supplies,San Rafael,Mexico,23
Seah Steel,,Mexico,20
Conduit De,Ecatepec de Morelos,Mexico,19
Tubac De,Lazaro Cardenas,Mexico,19
Intercontinental Ick Mex De,Zapopan,Mexico,18
Geodis Freight Forwarding France,Estado de Colima,Mexico,13
Ait Worldwide Logistics,Hermosillo,Mexico,10
Automotive Bend De Mexico S De R,Villa de Reyes,Mexico,9
Tci Intl Logistics,Alvaro Obregon,Mexico,9
Stant Manufactura De Mexico S A De,San Miguel de Allende,Mexico,8
Plantaciones De Balsa Plantabal S A,,Mexico,8
Jas Forwarding China,Ciudad de Mexico,Mexico,7
Aceros Camesa S A De C V,Gustavo A. Madero,Mexico,7
Thyssenkrupp Steel Europe,,Mexico,7
Productos Especializados De Acero,Azcapotzalco,Mexico,6
Bnca Monterrey,Monterrey,Mexico,5
Donaldson S A De C V,Aguascalientes,Mexico,5
Tube Investments Of India,Chennai,India,2.981
Goodluck India,Ghaziabad,India,1.666
Goodluck Industries,Bulandshahr,India,1.284
Patton International,West Delhi,India,664
Sar Transport Systems,,India,368
Metamorphosis Engitech India Pvt Lt,,India,286
Dahnay Logistics,Chennai,India,222
Surya Roshni,Kutch,India,218
Garg Tube Export,Indi Taluk,India,171
Smith Industrial Privat,Ghaziabad,India,154
Apl Apollo Tubes,National Capital Territory of Delhi,India,153
Safewater Lines India,West Delhi,India,129
Apollo Metalex,Ghaziabad,India,117
Jindal India,Kolkata,India,108
Om Trans Logistics,Mumbai,India,88
Zenith Steel Pipes And Industries,Mumbai,India,66
